state|city|latitude|longitude|summary|success|suicide|attack_type|target_type|target|group_name|motive|weapon_type|weapon_detail|property_damage|property_comment|date
Washington|Seattle|47.610786|-122.33130600000001|02/25/2013: Assailants set fire to a construction site in Seattle, Washington, the United States. There were no casualties, but the fire caused $60,000 in damages. Anarchists claimed responsibility for the attack, stating that they started the fire to protest what they called the myth of sustainable development.|1|0|Facility/Infrastructure Attack|Construction|Construction Site|Anarchists|In a letter posted online, Anarchists claimed responsibility for the attack and stated that the constructions site was targeted in protest of sustainable development.|Arson/Fire||Minor (likely < $1 million)|A single family home and construction equipment were damaged in this attack.|2013-02-25
Massachusetts|Boston|42.350265|-71.080976|04/15/2013: An explosive device consisting of a pressure cooker, nails, BBs, and a detonator fashioned from the remote control of a toy car detonated near the finish line of the Boston Marathon on Boylston Street in the Back Bay neighborhood of Boston, Massachusetts, United States. This was the first of two similar bombs that detonated approximately 12 seconds and 100 yards apart. The detonation of first device, which was located near Marathon Sports, killed spectator Krystle Campbell. Approximately 264 others were wounded in the two attacks. The alleged assailants of the blasts were later identified as Tamerlan and Dzhokhar Tsarnaev, brothers who immigrated to the United States from Russia in 2002 and 2003. On April 19, 2013, as part of an attempt to flee the Boston area, the assailants were involved in a shootout with police that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the attack, including one for the use of a weapon of mass destruction. Tsarnaev was ultimately found guilty on all counts, and sentenced to the death penalty on June 24, 2015.|1|0|Bombing/Explosion|Procession/Gathering (funeral, wedding, birthday, religious)|Boston Marathon|Muslim extremists|Dzhokhar Tsarnaev, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in response to his belief that the United Sttaes (US) was allegedly killing innocent members of the Muslim community.|Remote Trigger|A remote-controlled pressure-cooker bomb containing nails and BBs was used in the attack|Unknown|Nearby shops and buildings were damaged in this attack.|2013-04-15
Massachusetts|Boston|42.350265|-71.080976|04/15/2013: An explosive device consisting of a pressure cooker, nails, BBs, and a detonator fashioned from the remote control of a toy car went off near the finish line of the Boston Marathon on Boylston Street in the Back Bay neighborhood of Boston, Massachusetts, United States. This was the second of two similar bombs that detonated approximately 12 seconds and 100 yards apart. The detonation of second device, which was located near Forum Restaurant, killed spectators Martin Richard and Lingzi Lu. Approximately 264 others were wounded in the two attacks. The alleged assailants of the blasts were later identified as Tamerlan and Dzhokhar Tsarnaev, brothers who immigrated to the United States from Russia in 2002 and 2003. On April 19, 2013, as part of an attempt to flee the Boston area, the assailants were involved in a shootout with police that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the attack, including one for the use of a weapon of mass destruction. Tsarnaev was ultimately found guilty on all counts, and sentenced to the death penalty on June 24, 2015.|1|0|Bombing/Explosion|Procession/Gathering (funeral, wedding, birthday, religious)|Boston Marathon|Muslim extremists|Dzhokhar Tsarnaev, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in response to his belief that the United Sttaes (US) was allegedly killing innocent members of the Muslim community.|Remote Trigger|A remote-controlled pressure-cooker bomb containing nails and BBs was used in the attack|Unknown|Nearby shops and buildings were damaged in this attack.|2013-04-15
California|San Jose|37.339386|-121.89495600000001|04/16/2013: Assailants opened fire on the Metcalf transmission substation after severing telecommunication wires in San Jose, California, United States. As a result, 17 transformers that supplied power to Silicon Valley were damaged, causing them to leak 52,000 gallons of oil. No group claimed responsibility for the attack.|1|0|Facility/Infrastructure Attack|Electricity|Metcalf Transmission Substation|Unknown||Rifle/Shotgun (non-automatic)||Unknown|Fiber-optic cables and 17 electrical transformers were damaged in this attack.|2013-04-16
Texas|West|31.816677000000002|-97.087902|04/17/2013: Assailants set fire to the West Fertilizer Company plant in West, Texas, United States. The subsequent explosion killed 15 people and injured at least an additional 151. No group claimed responsibility for the attack. On May 11, 2016 investigators announced that the fire was set intentionally; however, no suspects were announced.|1|0|Facility/Infrastructure Attack|Industrial/Textiles/Factory|Fertilizer Plant|Unknown||Arson/Fire||Unknown|A fertilizer plant, 193 houses, three schools, an apartment complex, and a nursing home were damaged in this attack.|2013-04-17
Massachusetts|Cambridge|42.359606|-71.09313399999999|04/18/2013: A Massachusetts Institute of Technology (MIT) police officer, Sean Collier, was shot and killed by gunmen on the MIT campus in Cambridge, Massachusetts, United States. The suspected assailants of the attack were later identified as Tamerlan and Dzhokhar Tsarnaev, who are believed to also be responsible for the double bomb attack near the finish line of the Boston Marathon that took place on April 15, 2013. Shortly after the killing of Collier, the suspects were involved in a shootout with police as they attempted to flee the Boston area. Tamerlan Tsarnaev was killed in the firefight. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the killing of Collier and the marathon attacks.|1|0|Armed Assault|Other Personnel|Security Officer: Sean Collier|Muslim extremists|Dzhokhar Tsarnaev, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in response to his belief that the United Sttaes (US) was allegedly killing innocent members of the Muslim community.|Unknown Gun Type||||2013-04-18
Nebraska|McCook|40.207537|-100.597003|04/18/2013: An explosive device was discovered at the airport in McCook, Nebraska, United States. The device was safely defused without incident. No group claimed responsibility for the unsuccessful attack.|0|0|Bombing/Explosion|Airport|Airport|Unknown||Other Explosive Type|A bomb consisting of a plastic container with two wires coming out of the top with a shotgun shell and metal objects inside was used in the attack.|||2013-04-18
Massachusetts|Watertown|42.370888|-71.182911|04/19/2013: Police thwarted a potential bomb attack when they engaged in a firefight with the alleged assailants of the Boston Marathon bombings, Tamerlan and Dzhokhar Tsarnaev, in Watertown, Massachusetts, United States. Shortly after hijacking a civilian vehicle, the suspects were confronted by police, leading to a firefight that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev and 16 police officers were injured in the exchange. One of the injured officers, Dennis Simmonds, succumbed to his injuries on April 10, 2014. During the encounter, the suspects hurled explosives at the officers. It was later revealed that the Tsarnaev brothers were plotting to use the explosives to carry out an attack in an unconfirmed location. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts, resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the Boston attacks, including one for the use of a weapon of mass destruction.|1|0|Hijacking||Unknown|Muslim extremists|Dzhokhar Tsarnaev, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in response to his belief that the United Sttaes (US) was allegedly killing innocent members of the Muslim community.|Pipe Bomb|A pressure cooker bomb and five pipe bombs were to be used in the attack.|Minor (likely < $1 million)|An unknown number of vehicles were damaged in this attack.|2013-04-19
District of Columbia|Washington|38.908642|-77.015381|05/20/2013: A letter containing ricin was mailed to United States President, Barack Obama, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach the President. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned the President of future attacks if he pursued a gun control agenda. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.|0|0|Unarmed Assault|Head of State|President: Barack Obama|Anti-Gun Control extremists|Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.||Ricin in a letter was used in the attack.|||2013-05-20
District of Columbia|Washington|38.908642|-77.015381|05/20/2013: A letter containing ricin was mailed to the Director of Mayors Against Illegal Guns, Mark Glaze, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach Glaze. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Glaze and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.|0|0|Unarmed Assault|Labor Union Related|Director: Mark Glaze|Anti-Gun Control extremists|Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.||Ricin in a letter was used in the attack.|||2013-05-20
